rngi,shift_x,shift_y,ncc_peak,shift_x_0,shift_y_0,registration_error
101,-0.04,1.46,0.9505049833199015,-0.055089771834460066,1.5565116120103255,0.9999955911237663
102,-1.52,0.04,0.9605409856678839,-1.5774134533425155,0.0952374554825326,0.9999914755574851
103,0.98,-0.88,0.9865344194748072,1.0171983145854426,-0.8664100404389359,0.9999855971815251
104,-1.0,0.72,0.9793177614975423,-1.0601899389657774,0.7854773784169993,0.9999922687595356
105,1.08,-0.96,0.9614912082452346,1.3569807480868121,-1.003859812322517,0.9999925694659841
106,0.3,-0.02,0.9607166528964687,0.45356806620924317,0.033352917686414685,0.9999907280401339
110,-0.02,0.0,0.9915079533532316,0.019523805066228306,0.08357453018575711,0.9999827084791264
111,1.08,-0.08,0.9685297755905704,1.2805821469945897,-0.10570365533796178,0.9999915655817118
112,0.98,-0.96,0.9899056826899063,0.9883768536682851,-1.0079326481698985,0.9999872311334566
113,-2.94,-0.38,0.9289935368572717,0.5716021979821448,1.6888361068561437,0.9999964529340691
114,-0.96,-0.86,0.9858199249345858,-0.9429239679436989,-0.8519170131591096,0.9999869985045712
116,-1.0,-0.5,0.9565910795204811,-1.0284425908031238,-0.5094791852761631,0.9999915436093915
117,-2.96,-0.24,0.942042318438784,0.5839716169840017,1.858392197033595,0.9999968554098955
121,-2.92,-0.4,0.9278331632097734,0.6465082402570772,1.6050703844498742,0.9999979665544193
122,0.9,0.04,0.9861893397826418,0.8600795511582078,0.08067232858439866,0.9999885504483744
123,0.46,0.08,0.9527508197979699,0.47913471645296113,0.16221005347753703,0.9999933388087855
124,-0.8,-0.56,0.9445554023688929,-0.704435076099827,-0.5429850200157631,0.999992848230698
125,-0.16,-0.94,0.9767758513894089,-0.256338475816392,-0.9790461614035877,0.999991820559383
127,-4.02,0.12,0.9558249835194058,-0.716245420280643,-1.871129643053692,0.9999956645892591
128,-1.02,-0.6,0.961500558905694,-1.1468789130431674,-0.6161559153894558,0.9999891076179349
132,0.64,-0.92,0.9625595297452998,0.6180274993818671,-0.9156028439229971,0.9999939018799124
133,0.22,-1.6400000000000001,0.9482514183578139,0.2747794246443789,-1.7174425445119539,0.9999968086940936
135,0.02,-2.22,0.9502370556452971,0.23743117424677962,1.757337413641352,0.9999977717510322
137,-0.98,-0.84,0.9843228862331566,-1.0483903392622125,-0.829188447501565,0.9999861385103432
138,-3.9,0.02,0.9581757617686862,-0.25756584078993683,-1.9433225995702657,0.9999971317106865
140,-0.94,1.94,0.9694217316469387,-0.9248452646646399,1.9587523856990856,0.9999971647220215
141,-2.96,0.32,0.9296894040822027,0.4897717131437105,-1.689842691010199,0.9999968003576125
142,-0.02,1.26,0.9575557843485665,-0.16331265212249946,1.272583880936395,0.9999977698678755
144,0.76,-1.28,0.9339222180954557,0.7366125683944063,-1.5241695625603597,0.9999981144384422
145,0.92,-1.34,0.9490959876490456,0.8677640204724355,-1.4327296978094353,0.9999964853352106
148,0.08,0.48,0.9558308547582447,0.21346080134719614,0.5952130500145358,0.9999916145250747
153,-0.08,-0.14,0.9769897017136701,-0.21333780153831583,-0.16305731371924992,0.9999897140155466
156,-0.96,0.44,0.9585844680711986,-0.9359417797621887,0.5334692032837438,0.9999883047062299
157,-1.1400000000000001,0.94,0.9595068708593693,-1.278846849926481,1.019993796481316,0.9999968820248752
159,1.06,-0.98,0.9759803154037334,1.2212797604657624,-1.048612796851998,0.9999893464285059
160,-0.5800000000000001,1.06,0.9477093206109174,-0.5819294926622263,1.1025250414695336,0.9999966307285826
162,-4.98,-0.16,0.939644419868414,2.0563975976692177,-0.2133897036098915,0.9999970401928489
165,-1.5,-0.26,0.9438698900918534,-1.4978194231058382,-0.2606768261323822,0.9999932273775697
169,-0.06,1.46,0.950662467751483,-0.13310282462771283,1.5048018890370827,0.999995914393727
170,-0.02,0.02,0.9911141996523835,-0.01077612081968482,0.046668691893586356,0.9999860954352817
171,-0.06,1.06,0.9722857863011496,-0.0775048350098757,1.133762571609651,0.9999954916712663
173,-4.98,-0.24,0.9537353837888802,-1.2416617161128158,1.8220117008365264,0.9999970718390361
174,0.06,0.76,0.9765532927820518,0.14738376853350132,0.8788596590883628,0.9999944806822757
175,0.2,0.0,0.9691506172479134,0.3621317308124219,0.015943367687810905,0.9999922710139209
178,0.0,-1.28,0.9631211954447706,-0.007932065606553351,-1.3802633423408537,0.99999261124093
182,0.76,-0.1,0.9723601425978002,0.6899508304952349,-0.07967177935309167,0.9999923855899107
183,-4.98,0.14,0.9480340640349051,-1.3352971432623946,-1.870935805503862,0.9999948884594321
184,-0.74,-1.58,0.9399610847380022,-0.6663721753059235,-1.6183379659911736,0.999995202716588
185,-2.96,-0.08,0.9510444462045262,0.5956526063686169,-2.0926117921480625,0.9999949038775319
186,-0.06,-1.22,0.9695124481165421,-0.16494990102484053,-1.2732783895538518,0.9999924879373552
187,-0.98,-0.6799999999999999,0.970915980553511,-0.9441369398899155,-0.6795185527489451,0.999990686772586
189,0.88,-1.2,0.9541813725383432,0.7704884153430669,-1.2986524070687295,0.9999959366992298
190,0.94,-0.64,0.970127943737384,0.9226824648239642,-0.6684189788926176,0.9999892967247492
191,0.34,-0.6,0.9342389012241578,0.4452987241029689,-0.5614216930617175,0.9999937094521967
192,-0.94,-0.84,0.9819282496098971,-0.8811132335377891,-0.8288527736976334,0.9999867016751826
194,-1.92,0.72,0.9527785765852752,-1.9664596394877094,0.7972215974296546,0.9999971162424469
198,-0.92,-1.16,0.9692670530703051,-0.9527503385676539,-1.2604824649244222,0.9999940623171002
199,-3.0,0.22,0.9519505349180389,0.2505680217476254,-1.7489723513631503,0.9999972679111484
204,-1.8,-0.2,0.965789872122316,-1.7460464677727998,-0.24613698147106788,0.9999920998700029
205,-3.98,0.2,0.9489182157447571,-0.3182827409533502,-1.7871854014938435,0.9999961555604829
210,0.0,-0.74,0.9774884398655366,0.009906657958794085,-0.7239526560709635,0.9999858377737334
212,-1.06,-0.12,0.9827276330083251,-1.1775789346910983,-0.09343446037152603,0.9999887518749909
214,-0.02,1.3,0.9635104365556375,0.06605029715746014,1.337405711688433,0.9999954171397704
215,-3.98,0.22,0.9301244614735187,-0.4974538129923758,-1.747987954183273,0.9999961192632746
216,0.98,-2.92,0.9653354129730036,0.94017690198379,1.196816179871604,0.9999970987275396
217,-2.92,-0.22,0.9354962897883441,0.6070911054866599,1.7481587489389199,0.9999982799129797
218,-3.0,0.12,0.9533438702874708,0.30743520392033474,-1.8641364377086944,0.9999938203057022
219,1.0,-2.0,0.9705119902399739,1.0648598991844267,-2.054511662796145,0.9999936456681694
222,-1.94,0.28,0.9456015407020458,-2.0014282795962117,0.37616567319710725,0.9999937981612336
224,1.16,-0.88,0.9471836455646018,-2.050691535222512,1.1631520956055965,0.9999947690336249
227,1.1,-0.7,0.944427935893686,1.345282919999903,-0.7159381142038939,0.9999951068869272
230,-1.96,-0.84,0.9537264041279225,1.2468840168936595,1.1551537739759965,0.999996155598277
231,1.1,-0.6599999999999999,0.9442713345503112,1.3001067142796217,-0.597852238606265,0.9999930095708119
233,0.04,-0.56,0.9538530670929587,0.17323161089828432,-0.5305674024275504,0.999989666128481
236,-0.08,-0.64,0.9553649917556795,-0.21889868609052598,-0.5841800528624219,0.9999890113503949
237,-0.1,-0.06,0.9816994459663819,-0.2253834838016644,-0.0463666371999949,0.9999895973127246
238,-4.94,0.12,0.9427560388390107,-1.387254104106134,-1.866167610456742,0.9999953781241542
241,-0.98,1.56,0.9526172253314941,-1.0106328496230645,1.6405438564086694,0.9999961427124104
242,3.02,-0.84,0.9496769419685556,-0.33971767798757924,1.1722824433668109,0.9999967553615496
244,-1.08,0.98,0.9639110915537414,-1.2246938730152834,1.014876574841054,0.9999968014533812
249,1.82,0.06,0.9529031405868006,1.8047698228708953,0.24807917772037058,0.9999970388593372
250,-1.02,-1.0,0.9837088099599728,-1.1417298870551633,-1.0549684584156438,0.9999904356919431
252,-1.1,0.76,0.9659907570405988,-1.2350541244164788,0.886038012369653,0.9999961846567974
254,-1.98,0.46,0.9408384035905545,-2.1106171485610616,0.6471551161902767,0.9999966636856358
257,0.24,-0.72,0.9525901738151391,0.37739293614856706,-0.7205890621458906,0.9999937897888268
262,-1.02,-0.5800000000000001,0.9594201454182246,-1.1125584883142778,-0.5717259992526493,0.999989460756974
265,-1.78,0.6599999999999999,0.9573396763348678,-1.7761109214458912,0.7285849094748755,0.9999969904620482
266,-0.1,1.06,0.966209089823685,-0.15672722798481686,1.121547033044095,0.9999956214448305
267,0.94,-0.22,0.9650639895611074,0.8402493690916231,-0.11548393538078017,0.9999967068844108
268,1.06,0.02,0.9809992730374137,1.2124682969825074,0.0559753340661473,0.9999864658808515
273,1.02,-0.94,0.9875799170852197,1.1029619234975598,-0.9397013524649935,0.9999849456798714
275,0.98,0.36,0.9604444636810802,1.0188523689233193,0.4548364287758204,0.9999872268843795
276,-0.02,0.38,0.9583240518182418,-0.07101931538031181,0.4729587209124304,0.9999889999243541
277,0.06,-0.02,0.9890575127573884,0.1159504483573528,-0.004510280104469189,0.999990504815525
278,0.0,-1.92,0.974838736004975,-0.06337615847559164,-1.9566489333675463,0.9999938410186475
281,-1.98,0.14,0.9528709990360058,-2.108783626726918,0.18024283891958248,0.9999955371848489
282,-0.02,-1.8599999999999999,0.9656574763714705,-0.17994613210777288,-1.9226562802597442,0.9999973597197473
286,0.84,0.72,0.9724788887433913,0.7967846922525439,0.830565809814118,0.9999936373413164
288,-0.6599999999999999,-0.18,0.9555488655531966,-0.5725596326695666,-0.18811947160536135,0.9999937664445526
290,-5.08,0.28,0.9487864261572385,1.8748197152496573,0.28526765865848347,0.9999966005489497
291,0.16,-0.88,0.9710692679605365,0.29390029973217224,-0.8706969575855936,0.9999887073217206
294,-4.14,0.2,0.95771163896242,-0.8208822984676942,-1.774496048785693,0.9999975230804128
295,0.08,0.8200000000000001,0.9713449755369506,0.23285892234730454,0.9135154338625,0.9999954622499341
296,0.84,1.1,0.9669256984542646,0.9579778577402465,1.120504859140766,0.9999974447041652
297,0.6799999999999999,0.38,0.9389611993812206,0.6295301619589964,0.45102260629764146,0.9999928312258127
299,-2.94,0.0,0.9608853984798569,0.743995613530501,-1.9918183113804702,0.9999955953181418
302,-0.08,-2.04,0.9676947447660116,-0.12795693508979866,1.9367432899075254,0.9999959590920376
303,-1.72,-1.44,0.9386767134362002,1.8646062286273093,0.5456514255836851,0.9999971538345238
308,-0.7,-1.02,0.961641047078089,-0.6275740058574399,-1.1518710986231184,0.9999918695844546
311,-1.32,0.64,0.9472689746197754,-1.4135669590933873,0.7378163123216552,0.9999958010974747
315,-0.02,-1.4,0.9574826280158686,-0.008050628722457986,-1.448737577843076,0.999992630468446
317,0.06,0.78,0.9799628749540371,0.0758294068731118,0.8714074594172132,0.9999936939335459
318,-1.06,-0.02,0.9802149186906712,-1.200105941726136,0.042009147222387355,0.999992107365867
326,-0.18,0.16,0.9641917252815865,-0.29482368288068983,0.2334347620975734,0.999989830220306
327,-0.54,-1.02,0.9550700477186682,-0.4904775858596224,-1.0742924808233454,0.9999933166170998
329,0.9,0.4,0.9579390726591308,0.8325637056889548,0.58364143505014,0.9999906439225642
331,0.08,-1.06,0.974384061473748,0.23437146341350967,-1.1451521575478267,0.9999904173432802
332,-1.9,-1.02,0.9790451844239236,-1.866750811169851,-1.067939942549259,0.9999945571343115
334,0.96,0.26,0.9725829088988727,0.9783584212076732,0.32136747028110335,0.9999857104922352
335,-1.06,-0.06,0.9828417382277177,-1.1838088550226047,-0.009245931528084839,0.999989711712732
336,-1.0,-0.5,0.9582538656878555,-1.039505839339654,-0.47625135454283907,0.9999891492949533
337,-5.04,0.32,0.9288510621266359,1.9735013719758854,0.4317449373212696,0.9999978645981467
339,-0.56,0.18,0.9484233830249552,-0.5653687466770663,0.26591034370963484,0.9999921845888409
341,0.98,-1.96,0.9733925531416412,1.0444249225564874,-1.993163494319532,0.9999948590138819
344,1.04,-0.92,0.9766230324845733,1.2143686440372221,-0.9108046257526468,0.9999907212608935
345,1.9,0.26,0.9158745162739725,2.0448538294187983,0.5203688756449765,0.9999971736675124
346,0.92,0.48,0.9675175881255084,0.9171734086629613,0.6286738862122832,0.9999890834845976
347,-4.96,0.28,0.9426485067288242,-1.2759964358281763,-1.70647640092551,0.9999948133918425
348,-0.92,1.3599999999999999,0.9606139911706357,-0.9128930479818962,1.3452648281769939,0.9999966457972258
349,1.0,-1.58,0.9519849947057721,1.034429495132855,-1.6396789708710031,0.9999959683568327
