rngi,shift_x,shift_y,ncc_peak,shift_x_0,shift_y_0,registration_error
1,-0.04,-0.08,0.9295682808174064,-0.2003177471066806,-0.30539851305494636,0.9999156694243881
2,-0.02,-0.12,0.9300046323449073,-0.20056979908950723,-0.3038373353495629,0.9999127989542251
3,-0.06,-0.12,0.9319564358828092,-0.20392975318121387,-0.29710575586737775,0.9999083335029032
4,-0.06,-0.1,0.9265963183028354,-0.2125195561590516,-0.31383395055105723,0.9999184587812705
5,-0.08,-0.16,0.9258432778691084,-0.21467597496013013,-0.31373381552898394,0.9999242717586307
6,-0.04,-0.14,0.92855631834133,-0.20615929385864717,-0.31004979944809463,0.9998981760756798
7,-0.1,-0.16,0.9274130878596969,-0.2049732461201188,-0.3120719579898008,0.9999202171443187
8,-0.04,-0.1,0.9295881188261074,-0.21106446949873714,-0.29840114008773355,0.999902236938438
9,-0.08,-0.14,0.9269921041290994,-0.20707938869796294,-0.31443328275676663,0.9999173981223844
