rngi,shift_x,shift_y,ncc_peak,shift_x_0,shift_y_0,registration_error
1,0.0,-0.14,0.9134833403787599,-0.15305664042394085,-0.1208437097191748,0.9999929519265014
2,0.0,-0.04,0.9167245462851454,-0.16368861961275627,-0.09544850687723994,0.9999887048518944
3,0.02,-0.08,0.913049901654971,-0.15999565699037532,-0.10985316599750661,0.9999931646251261
4,-4.06,2.0,0.9124461408214198,-0.1730720862373829,-0.1000107871094329,0.9999923342707269
5,6.98,-0.12,0.9087559718166693,-0.17825548053680507,-0.10754634360448279,0.999991631888786
6,6.98,-0.1,0.9131851919221605,-0.16417834645913842,-0.10808791983998844,0.9999872941057458
7,0.06,-0.12,0.9123228471928574,-0.17345233948125838,-0.10725373292344642,0.9999901470431233
8,0.02,-0.16,0.9110177096592222,-0.16719139625288904,-0.1162564179049852,0.9999936387598164
9,0.02,-0.06,0.9114614747192494,-0.171344445082255,-0.10254278767557423,0.9999912261743268
