rngi,shift_x,shift_y,ncc_peak,shift_x_0,shift_y_0,registration_error
0,6.96,-0.12,0.9045719621101123,-0.18617793674609118,-0.11133464820689198,0.9999931154008453
1,6.98,-0.14,0.9125802960301186,-0.1719218324081453,-0.10949160025747062,0.9999899469594317
2,-0.02,-0.08,0.913957938934765,-0.16089621287383693,-0.10732472030304763,0.9999915238202927
3,0.0,-0.08,0.908124549155998,-0.17034719678281363,-0.11600425076965593,0.9999936701504418
4,-0.02,-0.14,0.9083146826432993,-0.1757196600462123,-0.11578097371902629,0.9999929598828163
5,7.0,-0.1,0.910135445934176,-0.1787075238656115,-0.10722479334541646,0.9999930566000566
6,6.96,-0.16,0.910239786633686,-0.17575233009674207,-0.11916207934833523,0.9999915201157893
7,7.0,-0.14,0.9112294203746282,-0.16948551028703207,-0.1172235335899714,0.9999929389650808
8,6.98,-0.12,0.9094975404402471,-0.17386376930492986,-0.117906683568755,0.9999911297048772
9,6.98,-0.16,0.907932717421263,-0.1776061756707179,-0.11236317473468205,0.9999935853354642
10,6.98,-0.06,0.9118010112322992,-0.16819784364709278,-0.11484507340362882,0.9999901112681929
11,6.98,-0.16,0.9145556022803017,-0.16101642522686177,-0.11422744723694933,0.9999903130292583
12,7.0,-0.14,0.9073786842761622,-0.1817587329315984,-0.11607301627410038,0.9999916525070234
13,7.0,-0.1,0.9138665675959541,-0.16836170360213032,-0.10909997669317306,0.9999902116665358
14,6.98,-0.18,0.9060686399438065,-0.18076628705016162,-0.12323316127242379,0.9999935750818381
15,7.0,-0.1,0.9110990116315041,-0.1696282376039875,-0.1101795368202545,0.9999889319502738
16,7.0,-0.08,0.9137392649488474,-0.16003474318046074,-0.10581271323535901,0.9999926890781425
17,-0.02,-0.1,0.9053540146655117,-0.18685249683217364,-0.1139794505484204,0.9999923232627712
18,6.98,-0.1,0.9079462841829821,-0.17457670764125055,-0.11721743417660235,0.9999918719383893
19,6.98,-0.1,0.9159397462482577,-0.15559873233218013,-0.11496131499315965,0.9999910547602114
20,-4.02,2.0,0.9132085780771577,-0.16434838763645132,-0.11773250333984464,0.9999930217538938
21,7.0,-0.12,0.9064441219418187,-0.18304857975657285,-0.11758428315962277,0.9999937092089967
22,0.02,-0.08,0.9171423926435005,-0.1521998736196366,-0.10882246502652038,0.9999919218135573
23,6.96,-0.18,0.9091493812140459,-0.17771569223549477,-0.11381625227899406,0.9999927334890315
24,6.98,-0.14,0.9071501151557861,-0.17788919636534217,-0.11812644609550205,0.9999909367362304
25,-0.08,-0.1,0.9142138977933412,-0.16195716031266727,-0.11277175367310122,0.999991618949599
26,6.98,-0.18,0.9121765368352385,-0.17177667438043898,-0.10815513399548138,0.9999916839300633
27,0.04,-0.1,0.9151320188939471,-0.16159450823936083,-0.10106188318487597,0.9999912796619155
28,0.0,-0.14,0.9076131594373215,-0.18011672241027554,-0.1083791961052043,0.9999916008697723
29,7.0,-0.1,0.9105873344979443,-0.1715936726944136,-0.11377930025689409,0.999988389562022
30,7.0,-0.18,0.9114357310432593,-0.1732553051457586,-0.11048555734692656,0.9999915403499843
31,6.98,-0.12,0.9036584643214669,-0.19230702126421306,-0.12247722492959667,0.9999934651177055
32,7.0,-0.16,0.9095203208875862,-0.16965885165750194,-0.12359574485350322,0.9999921017704906
33,7.0,-0.16,0.9109029817049976,-0.16748958365930378,-0.11409775966692592,0.9999859579032742
34,0.02,-0.16,0.9085476981970291,-0.16622781833932265,-0.11951841782956762,0.9999917504749039
35,7.04,-0.08,0.9066599192232179,-0.17975269460154664,-0.1190969159473596,0.9999941177095126
36,7.0,-0.14,0.9112119428370569,-0.17325684521031803,-0.10574313058357632,0.9999927375693498
37,7.0,-0.14,0.906990485226506,-0.17396172205565108,-0.12840347562070775,0.9999901321285813
38,7.0,-0.26,0.9039873652001917,-0.18247427857346565,-0.12506722438391904,0.9999935687991968
39,6.98,-0.12,0.9062261728655493,-0.1728015091594557,-0.13010475727475068,0.9999908720255869
40,-3.98,2.0,0.911966047851974,-0.16208480917089219,-0.11309226343196599,0.9999928833116087
41,0.0,-0.12,0.9093677199799628,-0.17517389060436983,-0.11689423389528031,0.9999926343672351
42,6.98,-0.1,0.9179870955189737,-0.1513362121864219,-0.11197679008299133,0.9999896859219969
43,-0.02,-0.16,0.9114713525520397,-0.17198349875540941,-0.11403713604023125,0.9999939642441504
44,6.96,-0.18,0.9108324056070995,-0.16789575224665043,-0.12215329213884019,0.9999901207846005
45,6.94,-0.12,0.909983456351324,-0.17230775713183277,-0.12078244867367971,0.9999937491684814
46,7.0,-0.1,0.9099957354526638,-0.175055252776815,-0.11756867769437918,0.9999937831437583
47,-0.08,-0.12,0.9073451363453044,-0.1813225352395591,-0.1159587331996903,0.9999931254075971
48,-0.02,-0.1,0.9097613127595481,-0.16941164643100137,-0.12275421790486973,0.9999917681487801
49,6.98,-0.2,0.9085555320682042,-0.16406933492697817,-0.12309058461774924,0.9999924001273338
50,0.0,-0.12,0.9069304094562654,-0.1743182101318297,-0.1241785151326198,0.9999930500551397
51,-4.0,2.0,0.9081103645116197,-0.18164417778801578,-0.12020243211451032,0.9999920429859105
52,7.0,-0.1,0.9038003857211374,-0.1846079819098776,-0.12580426432054992,0.999991214609782
53,-0.04,-0.08,0.9132699862883381,-0.15917571165066136,-0.12005839914159111,0.9999923551090643
54,6.94,-0.12,0.9093191710277394,-0.17384832310413856,-0.12103195068574735,0.9999924464038258
55,7.0,-0.14,0.9071048945990416,-0.18061694182377153,-0.12288915206115547,0.9999926707905913
56,6.98,-0.1,0.9102005170948448,-0.17421437583891475,-0.11486295876140673,0.9999909796390786
57,6.96,-0.16,0.9093405836990357,-0.18297551747284047,-0.10936471195655173,0.9999916712536807
58,-0.02,-0.12,0.9111090361256291,-0.17305521156150405,-0.10561888156753696,0.9999915582018344
59,7.0,-0.18,0.9118685981216456,-0.17316537810141597,-0.10682375577689385,0.9999928671461881
60,0.0,-0.16,0.9074547179793996,-0.177198273938302,-0.1171582871619492,0.9999924843383643
61,-0.04,-0.14,0.9123066218459881,-0.15984772467513153,-0.12274201672694574,0.9999930229056027
62,0.02,-0.1,0.9063306425564486,-0.19275256949424602,-0.11355100727445944,0.9999923134762975
63,-4.02,2.0,0.9130204608689678,-0.16988983790497514,-0.11064351946140505,0.9999906297972784
64,0.0,-0.1,0.9046981246436242,-0.18199661717522986,-0.1204193267325735,0.9999937010565209
65,6.98,-0.14,0.9110771170744453,-0.16121174211747302,-0.1217567079345585,0.9999894986996101
66,0.04,-0.12,0.9073688389584373,-0.17685447790209707,-0.11646488217546391,0.9999928297487117
67,6.98,-0.1,0.9081137258118207,-0.18258122373596564,-0.11242515562333466,0.9999891855629586
68,6.98,-0.12,0.9114420501454463,-0.17620028628580542,-0.10923010877031913,0.9999922647029048
69,6.98,-0.14,0.9119652462837525,-0.16795003153747246,-0.11598508035270783,0.9999919100024415
70,0.0,-0.1,0.9102618688702043,-0.18093522237234083,-0.10822480587264494,0.9999907383983104
71,6.92,-0.06,0.9102483858729837,-0.16446153419437337,-0.12250436941778986,0.9999888239951585
72,7.02,-0.08,0.9123564314338515,-0.16568710414321686,-0.11812220165132459,0.9999885229296793
73,6.98,-0.12,0.9103376606687023,-0.1789898649355024,-0.1089928279061354,0.9999915960078477
74,-0.04,-0.1,0.9072605446121709,-0.18970736957729173,-0.10938349079955856,0.9999923354913628
75,-0.06,-0.12,0.9085151473330457,-0.17668974159835216,-0.11228237668119334,0.9999928707822394
76,0.0,-0.08,0.9084545167975441,-0.17383031481750777,-0.11506869280477616,0.9999918034309837
77,-0.04,-0.12,0.9104782122319757,-0.173871536016037,-0.11332163885816726,0.9999930154996836
78,6.96,-0.18,0.9074791572617713,-0.17154836901782744,-0.12108885844655504,0.9999935411730362
79,-0.04,-0.12,0.9081725513815524,-0.18116977020849845,-0.11817048064746416,0.9999935212322892
80,0.02,-0.1,0.9096021210618054,-0.17285750667562638,-0.11276940908140887,0.9999915280182241
81,-4.0,1.94,0.9036927991175984,-0.18632145971831449,-0.1229661552209933,0.9999931875663897
82,6.98,-0.1,0.9134172500771849,-0.16923809023268177,-0.10431533242365987,0.9999924811997765
83,-0.02,-0.06,0.9104193690557549,-0.18035967123627472,-0.10486586722949198,0.9999925030058786
84,6.96,-0.14,0.910375124685537,-0.17341561190693255,-0.11078813593457681,0.999990198372847
85,-0.02,-0.12,0.910892956972638,-0.16809319379014198,-0.12460962602474268,0.9999931950161713
86,6.96,-0.12,0.9091616600812997,-0.17979027672697612,-0.1040082792650594,0.9999929560017633
87,0.0,-0.14,0.9118161194654071,-0.16640120363527444,-0.11109860749954947,0.9999924395014976
88,-0.02,-0.14,0.9096933636984036,-0.17790099440419738,-0.110622782023853,0.9999930782303073
89,7.0,-0.14,0.904131734487784,-0.18583484333218792,-0.12520203327321155,0.9999924199941368
90,-4.0,1.98,0.9065693252405418,-0.17518498550768413,-0.11813442309136235,0.9999936085904148
91,0.02,-0.04,0.9145159981982629,-0.1618052889136692,-0.10706344145892643,0.9999884361050422
92,6.94,-0.16,0.9094769624365353,-0.17255526239240737,-0.12125443640172762,0.999992777495184
93,0.02,-0.04,0.9104812171731769,-0.1767117040451751,-0.11038016234014947,0.9999909855025904
94,6.96,-0.12,0.9132198422034267,-0.17351351116244018,-0.10151028225855185,0.9999912204513522
