rngi,shift_x,shift_y,ncc_peak,shift_x_0,shift_y_0,registration_error
1,0.0,0.06,0.9093878760433975,-0.17844747207745115,0.10152022881557343,0.999991650199377
2,0.14,0.06,0.8373016129654485,-0.019351639999584336,0.211062196334737,0.9999969397969828
3,-3.92,-7.1,0.8917879569447037,-0.16125901677067134,-0.7877812663233712,0.9999956515461909
4,-0.04,0.02,0.8534973353412929,-0.009883854764623834,0.2850508701684191,0.9999967634063074
5,0.02,-0.24,0.9192652409792863,-0.08812179001743914,-0.18982908335998872,0.9999903599982156
6,-0.02,0.9,0.9322419168589462,-0.07271512504954103,0.9570669806594907,0.9999847343096098
7,0.06,-0.02,0.9292714754597199,-0.14299588266814567,-0.053247573726068254,0.9999836989532438
8,0.0,-0.04,0.9582506360869113,-0.008531273882141477,-0.00852327558173016,0.999965710849442
9,14.0,-0.04,0.902207760677562,-0.2896176024077022,-0.024669528663885387,0.9999908634751323
