rngi,shift_x,shift_y,ncc_peak,shift_x_0,shift_y_0,registration_error
3,-1.0,0.38,0.967902157110303,-0.981898385005664,0.3684707012363049,0.9999854984651713
4,-0.02,0.04,0.9908279448156887,-0.042704387561443014,0.07228103795216612,0.9999716636473396
5,-1.2,-0.04,0.9716322638214798,-1.3092979741617654,-0.01713757306123398,0.9999854890598852
8,0.92,-0.44,0.9594793738139045,0.8696211812190313,-0.42183097381094115,0.999987413979853
9,0.98,0.18,0.9808996266760269,0.9697377406717465,0.21758826923624497,0.9999783368473579
