rngi,shift_x,shift_y,ncc_peak,shift_x_0,shift_y_0,registration_error
0,-0.12,-0.22,0.9711566897611703,-0.20386121002464108,-0.2175776400733156,0.999991932954034
1,-0.12,-0.22,0.9714594680418929,-0.2025426933847143,-0.21798685216560898,0.9999911069048305
2,-0.18,-0.22,0.9716616600803395,-0.2031565012634502,-0.21392146582810767,0.9999928640014295
3,-0.14,-0.2,0.9713372473453518,-0.20398337250664156,-0.21603679781578933,0.9999921537906191
4,-0.14,-0.2,0.9717769591667257,-0.20265927492975777,-0.2142484851590325,0.9999913043102803
5,-0.16,-0.22,0.9709306213469526,-0.20375580105468316,-0.21699323370778245,0.9999928345170304
6,-0.14,-0.22,0.971376610285765,-0.20227678175270114,-0.21541641774216203,0.9999922454714782
7,-0.12,-0.24,0.971481252029635,-0.20164929130238818,-0.2186486945844166,0.9999916571694624
8,-0.12,-0.2,0.9714293521346384,-0.20168317667572921,-0.21911715686091782,0.9999912915055682
9,-0.14,-0.2,0.971681954688611,-0.2020079403514501,-0.21713297419975675,0.999991869290394
0,-0.12,-0.18,0.9710119360370668,-0.20355349446407445,-0.2151492378043116,0.9999925843404459
1,-0.12,-0.24,0.9718436053228817,-0.201004317863962,-0.21563028734145462,0.9999910182298767
2,-0.14,-0.22,0.9710345910979403,-0.20403233737526705,-0.21867596322144323,0.9999922648719
3,-0.1,-0.22,0.9707997273345471,-0.20530222307480983,-0.21448771987898851,0.9999926144273619
4,-0.12,-0.24,0.9719777740402333,-0.20275186027505754,-0.21475396443440786,0.9999910266495943
5,-0.18,-0.2,0.9708457928558774,-0.20462711240959663,-0.21654216488239797,0.9999929583738656
6,-0.16,-0.24,0.9714351517291477,-0.20424855870838599,-0.2150816706998171,0.9999920385341015
7,-0.1,-0.24,0.9714399070383064,-0.20162030950403675,-0.21911944359909796,0.9999917657103141
8,-0.12,-0.22,0.9712594327591655,-0.19982591197694433,-0.2164949537180405,0.9999920521250223
9,-0.14,-0.16,0.9716923437662663,-0.20201146215899257,-0.21468634744636006,0.9999917556162401
10,-0.1,-0.18,0.9708358358941218,-0.20235417085210372,-0.2189794632394353,0.9999915795982848
11,-0.14,-0.22,0.9721336991530065,-0.20212181954589425,-0.21404936687393672,0.9999912711942406
12,-0.14,-0.2,0.9711682130637307,-0.20446572996988266,-0.21320845629490748,0.9999920148816305
13,-0.14,-0.22,0.9717792908059788,-0.20520129827767164,-0.21267464589307394,0.9999913381895681
14,-0.14,-0.24,0.9710949840951344,-0.205013357729257,-0.21510073208239078,0.9999928323470695
15,-0.14,-0.18,0.9712521446474685,-0.20157616953005686,-0.21605180343217967,0.9999918533102549
16,-0.12,-0.22,0.9711702382203555,-0.20430006752296492,-0.2157859015762682,0.9999919522057382
17,-0.12,-0.2,0.9717809102397637,-0.20085560969735639,-0.21377743929456017,0.999991451190791
18,-0.12,-0.24,0.9717574193969447,-0.20102824877875491,-0.21629315296017637,0.9999916681381811
19,-0.12,-0.22,0.9715250114487801,-0.20344534124414793,-0.21574523699464976,0.9999918194443419
20,-0.12,-0.24,0.9709868673180001,-0.20184218838051038,-0.2192310670621822,0.9999920211916337
21,-0.14,-0.24,0.9706832505512341,-0.20409009302072434,-0.21384444172926464,0.9999928705396879
22,-0.14,-0.2,0.9717565916077022,-0.19856194552656348,-0.21684697276417353,0.9999919584106844
23,-0.12,-0.2,0.9720696169657408,-0.2017302216931114,-0.21539886855711643,0.9999907268760848
24,-0.18,-0.22,0.9713711012714752,-0.2025082053773275,-0.21959081855085572,0.999991823371528
25,-0.14,-0.24,0.9715371113588913,-0.19980498081841347,-0.21464346006843016,0.999991920282196
26,-0.12,-0.22,0.9719651347135212,-0.20067314515920032,-0.21456246411193547,0.9999915376927501
27,-0.14,-0.26,0.9712594499171169,-0.20146523938367977,-0.21597914265306883,0.9999929906379579
28,-0.14,-0.2,0.9708525553012333,-0.20430131776839744,-0.21733871330823717,0.9999916109111971
29,-0.16,-0.22,0.9709107754187237,-0.20547525156442248,-0.21601104925343861,0.9999918477482739
30,-0.16,-0.2,0.9712760081128774,-0.2032692218811576,-0.21587849461927533,0.9999921523574846
31,-0.12,-0.18,0.9704523355889954,-0.20479305971221606,-0.2130369904139826,0.9999933219871534
32,-0.14,-0.22,0.9715036477898331,-0.2020714842291511,-0.21228649724056936,0.9999919699762988
33,-0.16,-0.22,0.9712544005616361,-0.20253688262926062,-0.2168424876940236,0.9999919588971876
34,-0.12,-0.26,0.9717485807543793,-0.2005643648337383,-0.21381975117574825,0.9999919719631856
35,-0.12,-0.2,0.9710063458760596,-0.20016137056717298,-0.21928197093629365,0.9999918968058773
36,-0.14,-0.2,0.972529928392155,-0.1998839997057047,-0.21144237593121318,0.9999909653589965
37,-0.14,-0.18,0.9708365320637432,-0.20444509920911003,-0.21563107824165684,0.9999919323727471
38,-0.1,-0.22,0.9710155492158826,-0.2040083673793447,-0.21928614013641834,0.9999915330864554
39,-0.16,-0.2,0.9715630322965652,-0.20043167623140334,-0.21501990158121487,0.9999918772310346
40,-0.12,-0.2,0.9714426182460886,-0.2019138693172522,-0.21351992583805668,0.9999925403902317
41,-0.12,-0.18,0.970649383834385,-0.20437930661385906,-0.21573577044766523,0.9999928049488219
42,-0.1,-0.2,0.9719810902547893,-0.2020592305029396,-0.21541237523423717,0.9999922472035578
43,-0.12,-0.26,0.97196506469525,-0.20469412385106978,-0.2127792656407621,0.9999911314498047
44,-0.1,-0.22,0.9715541398605195,-0.19732997033622723,-0.21562666116072648,0.9999914931768262
45,-0.12,-0.24,0.9720320454931115,-0.20196343265867256,-0.21646572693904886,0.9999904549098753
46,-0.14,-0.2,0.9718563753181202,-0.20217514427945105,-0.2146401335398025,0.9999907738007099
47,-0.12,-0.22,0.971086927802247,-0.2033398108429907,-0.21518103280443768,0.9999927891091126
48,-0.14,-0.2,0.9710144319975271,-0.20189421076717906,-0.2177066120083424,0.999992148481921
49,-0.1,-0.2,0.9715840001773369,-0.20150504679909886,-0.21695453444880286,0.9999918476851305
50,-0.14,-0.22,0.9718737048647623,-0.20324175488471496,-0.21465744267786135,0.9999910466004427
51,-0.1,-0.22,0.9709822250785226,-0.20217575500892337,-0.21687291480672855,0.9999928069394437
52,-0.1,-0.24,0.9717883277528858,-0.2031262683064483,-0.21637949758981279,0.9999915804255647
53,-0.14,-0.22,0.9710239096177208,-0.20267458580208597,-0.21780465626308398,0.9999920670490382
